status_1,Szkic
Shipments heavier than the weight specified here will not be of package type 'Small Package'.,Przesyłki cięższe niż podany tutaj ciężar nie będą pakietem typu 'Mały pakiet'.
The minimum amount from when fresh food is active.,"Minimalna kwota, od której świeże produkty jest aktywne."
The minimum amount from when frozen is active.,"Minimalna kwota, od której zamrożone jest aktywne."
The minimum amount from when insurance is active.,"Minimalna kwota, od której ubezpieczenie jest aktywne."
The minimum amount from when only recipient is active.,"Minimalna kwota, od której tylko odbiorca jest aktywne."
The minimum amount from when receipt code is active.,"Minimalna kwota, od której kod odbioru jest aktywny."
The minimum amount from when signature is active.,"Minimalna kwota, od której podpis jest aktywny."
This determines the way the price of delivery is shown to the customer through the delivery options. The price can be shown as a total for each delivery option or as a surchage on top of the regular shipping price.,Określa sposób wyświetlania ceny dostawy klientowi poprzez opcje dostawy. Cena może być wyświetlana jako łączna dla każdej opcji dostawy lub jako dopłata do standardowej ceny wysyłki.
This setting applies to domestic shipments only,To ustawienie dotyczy tylko przesyłek krajowych
This will be added to or subtracted from the regular shipping price,To zostanie dodane do lub odjęte od standardowej ceny wysyłki
"Use percentage of total order amount for insurance. After the calculation, the next available price scale is selected.",Użyj procentu całkowitej kwoty zamówienia dla ubezpieczenia. Po obliczeniu zostaje wybrana kolejna dostępna skala cenowa.
"When enabled, parcel lockers will be excluded from pickup locations for all products. Only physical pickup points will be shown.","Po włączeniu, automaty paczkowe zostaną wykluczone z miejsc odbioru dla wszystkich produktów. Wyświetlane będą tylko fizyczne punkty odbioru."
"With 'Export entire order', MyParcel will export every order in its entirety to the back office for further processing.","Z opcją 'Eksportuj całe zamówienie', MyParcel wyeksportuje każde zamówienie w całości do biura zaplecza do dalszego przetwarzania."
