status_1,Bozza
"Generate a token for REST API access at this scope. The plaintext token is shown once, copy it before navigating away. Only its hash is stored. To rotate, click Generate again; the previous token at this scope stops working immediately. To clear a token (releasing its stores back to a parent-scope token if one exists), click Revoke.","Genera un token per l'accesso all'API REST in questo ambito. Il token in testo normale viene mostrato una sola volta, copialo prima di navigare altrove. Viene memorizzato solo il suo hash. Per ruotarlo, clicca di nuovo su Genera; il token precedente in questo ambito smette di funzionare immediatamente. Per cancellare un token (rilasciando i suoi store a un token con ambito padre se ne esiste uno), clicca su Revoca."
MyParcel API Access Token Management,Gestione dei token di accesso API MyParcel
"Token generated. Copy it now, it will not be shown again.","Token generato. Copialo ora, non verrà mostrato di nuovo."
Regenerate,Rigenera
Generate,Genera
Unexpected response.,Risposta inaspettata.
Failed to generate token.,Generazione del token non riuscita.
"Unsupported scope ""%1"".","Ambito non supportato ""%1""."
Generated token hash already exists at another scope.,L'hash del token generato esiste già in un altro ambito.
Revoke,Revoca
Token revoked.,Token revocato.
Failed to revoke token.,Revoca del token non riuscita.
"Revoke the API access token at this scope? Callers using it will be denied immediately.",Revocare il token di accesso API in questo ambito? Le chiamate che lo utilizzano verranno negate immediatamente.
A token is currently configured at this scope.,In questo ambito è attualmente configurato un token.
"Covers only this store. Issuing this token removes this store from the default-scope token's view and from any parent-website token's view: it is now exclusively owned by this store-view-scoped token.",Copre solo questo store. L'emissione di questo token rimuove questo store dalla vista del token con ambito predefinito e da qualsiasi token con ambito sito web padre: ora appartiene esclusivamente a questo token con ambito vista store.
"Covers every store-view in this website not tokened separately at store-view scope. Issuing this token removes these stores from the default-scope token's view; any store-view in this website with its own dedicated token remains invisible to this token.",Copre ogni vista store in questo sito web che non ha un token separato all'ambito vista store. L'emissione di questo token rimuove questi store dalla vista del token con ambito predefinito; qualsiasi vista store con il proprio token dedicato rimane invisibile a questo token.
Covers every store not tokened separately at website or store-view scope.,Copre ogni store che non ha un token separato all'ambito sito web o vista store.
"Your API key was saved, but the MyParcel account settings could not be imported: %1. Check the API key, then use the Import MyParcel Backoffice settings button.","La tua API key è stata salvata, ma non è stato possibile importare le impostazioni dell’account MyParcel: %1. Controlla l’API key, quindi usa il pulsante Importa impostazioni Backoffice MyParcel."
