status_1,Konzept
"Only available for certain contracts. If this is not in your contract, the setting has no effect.","Nur für bestimmte Verträge verfügbar. Wenn dies nicht in Ihrem Vertrag enthalten ist, hat die Einstellung keine Auswirkung."
Shipments heavier than the weight specified here will not be of package type 'Small Package'.,"Sendungen, die schwerer sind als das hier angegebene Gewicht, werden nicht als 'Kleines Paket' versendet."
The minimum amount from when fresh food is active.,"Der Mindestbetrag, ab dem Frischwaren aktiv ist."
The minimum amount from when frozen is active.,"Der Mindestbetrag, ab dem Tiefkühlware aktiv ist."
The minimum amount from when insurance is active.,"Der Mindestbetrag, ab dem die Versicherung aktiv ist."
The minimum amount from when only recipient is active.,"Der Mindestbetrag, ab dem 'Nur Empfänger' aktiv ist."
The minimum amount from when receipt code is active.,"Der Mindestbetrag, ab dem der Empfangscode aktiv ist."
The minimum amount from when signature is active.,"Der Mindestbetrag, ab dem die Unterschrift aktiv ist."
This determines the way the price of delivery is shown to the customer through the delivery options. The price can be shown as a total for each delivery option or as a surchage on top of the regular shipping price.,"Dies bestimmt, wie der Lieferpreis dem Kunden über die Lieferoptionen angezeigt wird. Der Preis kann als Gesamtpreis für jede Lieferoption oder als Aufschlag auf den regulären Versandpreis angezeigt werden."
This setting applies to domestic shipments only,Diese Einstellung gilt nur für Inlandssendungen
This will be added to or subtracted from the regular shipping price,Dies wird zum regulären Versandpreis hinzuaddiert oder davon abgezogen
"Use percentage of total order amount for insurance. After the calculation, the next available price scale is selected.",Prozentsatz des Gesamtbestellwerts für die Versicherung verwenden. Nach der Berechnung wird die nächste verfügbare Preisstufe ausgewählt.
"When enabled, parcel lockers will be excluded from pickup locations for all products. Only physical pickup points will be shown.","Wenn aktiviert, werden Paketautomaten von den Abholorten für alle Produkte ausgeschlossen. Es werden nur physische Abholpunkte angezeigt."
"With 'Export entire order', MyParcel will export every order in its entirety to the back office for further processing.",Mit 'Gesamte Bestellung exportieren' exportiert MyParcel jede Bestellung vollständig in das Backoffice zur weiteren Verarbeitung.
